_id,Category,Topic,Data Source,Characteristic,City of Toronto,Agincourt North,Agincourt South-Malvern West,Alderwood,Annex,Banbury-Don Mills,Bathurst Manor,Bay Street Corridor,Bayview Village,Bayview Woods-Steeles,Bedford Park-Nortown,Beechborough-Greenbrook,Bendale,Birchcliffe-Cliffside,Black Creek,Blake-Jones,Briar Hill-Belgravia,Bridle Path-Sunnybrook-York Mills,Broadview North,Brookhaven-Amesbury,Cabbagetown-South St. James Town,Caledonia-Fairbank,Casa Loma,Centennial Scarborough,Church-Yonge Corridor,Clairlea-Birchmount,Clanton Park,Cliffcrest,Corso Italia-Davenport,Danforth,Danforth East York,Don Valley Village,Dorset Park,Dovercourt-Wallace Emerson-Junction,Downsview-Roding-CFB,Dufferin Grove,East End-Danforth,Edenbridge-Humber Valley,Eglinton East,Elms-Old Rexdale,Englemount-Lawrence,Eringate-Centennial-West Deane,Etobicoke West Mall,Flemingdon Park,Forest Hill North,Forest Hill South,Glenfield-Jane Heights,Greenwood-Coxwell,Guildwood,Henry Farm,High Park North,High Park-Swansea,Highland Creek,Hillcrest Village,Humber Heights-Westmount,Humber Summit,Humbermede,Humewood-Cedarvale,Ionview,Islington-City Centre West,Junction Area,Keelesdale-Eglinton West,Kennedy Park,Kensington-Chinatown,Kingsview Village-The Westway,Kingsway South,Lambton Baby Point,L'Amoreaux,Lansing-Westgate,Lawrence Park North,Lawrence Park South,Leaside-Bennington,Little Portugal,Long Branch,Malvern,Maple Leaf,Markland Wood,Milliken,Mimico (includes Humber Bay Shores),Morningside,Moss Park,Mount Dennis,Mount Olive-Silverstone-Jamestown,Mount Pleasant East,Mount Pleasant West,New Toronto,Newtonbrook East,Newtonbrook West,Niagara,North Riverdale,North St. James Town,Oakridge,Oakwood Village,O'Connor-Parkview,Old East York,Palmerston-Little Italy,Parkwoods-Donalda,Pelmo Park-Humberlea,Playter Estates-Danforth,Pleasant View,Princess-Rosethorn,Regent Park,Rexdale-Kipling,Rockcliffe-Smythe,Roncesvalles,Rosedale-Moore Park,Rouge,Runnymede-Bloor West Village,Rustic,Scarborough Village,South Parkdale,South Riverdale,St.Andrew-Windfields,Steeles,Stonegate-Queensway,Tam O'Shanter-Sullivan,Taylor-Massey,The Beaches,Thistletown-Beaumond Heights,Thorncliffe Park,Trinity-Bellwoods,University,Victoria Village,Waterfront Communities-The Island,West Hill,West Humber-Clairville,Westminster-Branson,Weston,Weston-Pelham Park,Wexford/Maryvale,Willowdale East,Willowdale West,Willowridge-Martingrove-Richview,Woburn,Woodbine Corridor,Woodbine-Lumsden,Wychwood,Yonge-Eglinton,Yonge-St.Clair,York University Heights,Yorkdale-Glen Park
1,Neighbourhood Information,Neighbourhood Information,City of Toronto,Neighbourhood Number,,129,128,20,95,42,34,76,52,49,39,112,127,122,24,69,108,41,57,30,71,109,96,133,75,120,33,123,92,66,59,47,126,93,26,83,62,9,138,5,32,11,13,44,102,101,25,65,140,53,88,87,134,48,8,21,22,106,125,14,90,110,124,78,6,15,114,117,38,105,103,56,84,19,132,29,12,130,17,135,73,115,2,99,104,18,50,36,82,68,74,121,107,54,58,80,45,23,67,46,10,72,4,111,86,98,131,89,28,139,85,70,40,116,16,118,61,63,3,55,81,79,43,77,136,1,35,113,91,119,51,37,7,137,64,60,94,100,97,27,31
3,Population,Population and dwellings,Census Profile 98-316-X2016001,Population 2016,2731571,29113,23757,12054,30526,27695,15873,25797,21396,13154,23236,6577,29960,22291,21737,7727,14257,9266,11499,17757,11669,9955,10968,13362,31340,26984,16472,15935,14133,9666,17180,27051,25003,36625,35052,11785,21381,15535,22776,9456,22372,18588,11848,21933,12806,10732,30491,14417,9917,15723,22162,23925,12494,16934,10948,12416,15545,14365,13641,43965,14366,11058,17123,17945,22000,9271,7985,43993,16164,14607,15179,16828,15559,10084,43794,10111,10554,26572,33964,17455,20506,13593,32954,16775,29658,11463,16097,23831,31180,11916,18615,13845,21210,18675,9233,13826,34805,10722,7804,15818,11051,10803,10529,22246,14974,20923,46496,10070,9941,16724,21849,27876,17812,24623,25051,27446,15683,21567,10360,21108,16556,7607,17510,65913,27392,33312,26274,17992,11098,27917,50434,16936,22156,53485,12541,7865,14349,11817,12528,27593,14804
8,Population,Population and dwellings,Census Profile 98-316-X2016001,Population density per square kilometre,4334,3929,3034,2435,10863,2775,3377,14097,4195,3240,4209,3614,4011,3765,6282,8134,7791,1040,6764,5045,8335,6464,5683,2479,23044,3632,3979,2273,7478,8554,7881,6441,4146,9819,2337,8540,8038,2840,7051,3306,6466,2171,6582,9026,8054,4380,5864,8582,2673,6047,11726,4893,2403,3148,3981,1570,3565,7682,7031,2712,5442,6467,4770,11806,4356,3593,4697,6144,3038,6407,4685,3596,12859,4584,4948,4012,3614,2830,4915,3041,14753,6442,7291,5411,21969,3342,3926,5070,10156,6770,44321,7444,9511,3780,3997,9601,4691,2547,8671,5273,2138,16880,4229,4414,9851,4500,1260,6333,4734,5395,9583,3136,2430,5436,3199,5073,15528,6058,3130,6787,9570,5395,3710,8943,2856,1117,7339,7197,7601,2724,10087,5820,4007,4345,7838,6722,8541,7162,10708,2086,2451
10,Population,Age characteristics,Census Profile 98-316-X2016001,Children (0-14 years),398135,3840,3075,1760,2360,3605,2325,1695,2415,1515,4555,1120,4550,3345,4600,1405,1855,1435,1470,3360,800,1490,1200,2150,1260,4565,2765,2575,1910,1675,3020,4065,4250,4480,5725,1285,3735,2120,4180,1805,4805,2635,1695,4385,2060,1365,5790,2460,1295,2505,2850,3540,1545,2115,1450,2155,2945,2165,2310,5820,2190,1610,2775,1315,4240,1580,1695,6120,2420,3280,2845,3285,1400,1335,7910,1500,1340,3675,3505,2880,1540,2395,7090,2980,2380,1610,1585,2810,2055,1960,2290,2865,3130,3110,1470,1280,5840,1745,1150,2050,1770,1635,1640,3505,2300,2625,7960,2050,1940,3365,2115,3975,2645,3150,4060,3885,2950,3825,1730,5600,1745,565,2630,3650,4635,5060,3440,3100,1675,4215,5920,1785,3555,9625,2325,1165,1860,1800,1210,4045,1960
11,Population,Age characteristics,Census Profile 98-316-X2016001,Youth (15-24 years),340270,3705,3360,1235,3750,2730,1940,6860,2505,1635,3210,855,4605,2440,3290,885,1655,1425,1040,2460,1035,1220,1080,1850,5060,3495,1910,2145,1545,920,1450,3280,3155,3925,4340,1065,2210,1805,3130,1440,3030,2405,1460,3060,1500,1355,4520,1305,1065,2330,1890,2125,1925,2170,1140,1720,2225,1610,1645,4695,1465,1430,2175,3350,3020,1100,905,5730,2105,1670,2095,2175,1605,1130,6620,1265,1165,3195,3010,2690,2060,1815,5240,1705,2520,1390,2185,3325,2415,1170,2265,1680,2275,2385,915,1465,4680,1370,735,2080,1580,1775,1355,2740,1305,2185,6700,960,1405,2360,2275,2445,2540,2685,2495,3225,1690,2075,1410,2455,1630,1485,2030,7840,3950,5445,3355,2225,1415,3650,6940,2230,2625,7660,1035,675,1320,1225,920,4750,1870
12,Population,Age characteristics,Census Profile 98-316-X2016001,Working Age (25-54 years),1229555,11305,9965,5220,15040,10810,6655,13065,10310,4490,8410,2750,12050,9075,8525,3605,6740,3090,5680,7625,5855,4570,4555,5030,18780,11940,7470,6070,6930,4370,7930,11860,10485,19790,15045,6680,9990,5940,9180,3700,8385,6910,5025,9185,5390,4235,11590,7240,3370,8045,11660,11570,4620,6060,3790,4855,6445,7005,6050,20640,7470,4790,7120,8760,8635,3245,3310,17210,7590,5980,5870,6455,9385,4705,17865,4110,3600,10565,17695,6840,12530,5930,13615,7620,17100,5215,6860,10410,23320,5490,10350,6050,9535,7855,4035,7845,14780,4645,3725,6470,3825,5575,4300,9255,7990,7925,18510,4605,3615,6685,12440,15025,6800,9500,10660,10675,7580,9590,4160,9020,9210,3590,7170,45105,10765,13845,10865,7785,5275,11380,25850,7480,8140,21945,6165,3790,6420,5860,5960,12290,5860
13,Population,Age characteristics,Census Profile 98-316-X2016001,Pre-retirement (55-64 years),336670,4230,3265,1825,3480,3555,2030,1760,2540,1825,3075,885,3535,3520,2425,940,1925,1525,1435,2185,1715,1350,1465,1955,3235,3360,1935,2445,1740,1195,2135,3145,3330,3935,4380,1235,2805,2385,2825,1255,2430,2855,1600,2335,1725,1530,3605,1765,1555,1390,2585,2870,2020,2265,1510,1315,1760,1650,1720,5400,1750,1435,2510,1795,2550,1345,1050,5930,1910,1725,2115,2340,1325,1520,5535,1205,1735,4030,4620,2355,2495,1760,3475,2020,3030,1580,2155,3110,1885,1645,1970,1595,2590,2650,1280,1260,4265,1390,970,2020,1855,1100,1520,3090,1690,3030,6690,1215,1115,2095,2475,3120,2625,3515,3660,3510,1750,3140,1195,1665,1625,650,2270,4680,3785,3990,3500,2430,1415,3940,5460,2070,2905,6245,1625,1150,1595,1325,1540,2965,1810
14,Population,Age characteristics,Census Profile 98-316-X2016001,Seniors (65+ years),426945,6045,4105,2015,5910,6975,2940,2420,3615,3685,3980,965,5250,3910,2870,895,2100,1785,1865,2130,2250,1325,2675,2385,3010,3630,2375,2695,2015,1515,2655,4700,3780,4515,5535,1515,2650,3290,3505,1275,3725,3765,2060,2980,2135,2260,5005,1640,2635,1460,3180,3800,2395,4305,3045,2380,2160,1940,1890,7405,1500,1785,2550,2705,3585,1995,1025,8990,2160,1935,2235,2550,1855,1405,5890,2030,2705,5115,5160,2695,1900,1685,3560,2455,4605,1525,3320,4165,1510,1660,1740,1655,3700,2690,1520,1960,5250,1590,1220,3195,2025,730,1730,3655,1680,5140,6625,1245,1865,2225,2540,3330,3235,5755,4165,6160,1705,2955,1880,2365,2350,1320,3405,4635,4240,4980,5130,2445,1325,4715,6270,3370,4905,8010,1380,1095,3150,1600,2905,3530,3295
15,Population,Age characteristics,Census Profile 98-316-X2016001,Older Seniors (85+ years),66000,925,555,320,1040,1640,710,330,610,740,660,145,900,630,370,115,310,245,255,285,305,165,395,160,250,660,400,370,300,195,365,665,790,595,870,175,310,665,560,145,955,565,505,285,350,325,700,200,540,135,550,755,190,630,950,260,260,280,245,1480,175,230,330,480,575,325,140,1345,360,265,315,400,255,140,445,380,535,880,565,355,140,265,300,260,940,140,670,685,95,140,220,255,540,430,230,290,775,205,195,355,325,50,300,480,185,750,685,195,365,430,360,520,410,955,750,1220,270,265,350,425,330,305,570,365,625,615,1000,395,150,905,830,655,885,1130,170,125,880,165,470,400,775
2355,Income,Income sources,Catalogue no. 98-400-X2016122,  After-tax income: Average amount ($),41462,26955,27928,39159,80138,51874,37927,43427,41440,38196,85678,29453,28953,43027,23786,39515,30341,193454,37018,28552,49123,30529,115033,43854,43039,31369,41837,36364,35165,43924,42455,31875,28052,33777,29774,34403,43567,72156,26865,28355,39911,39203,32942,25608,62714,142627,25395,38307,43848,30931,45893,54872,34837,34203,38150,27334,26403,49925,27852,42550,40679,29133,27439,31282,31447,97836,57429,27944,54879,79100,111586,85496,37924,39000,26505,31957,48586,25109,43971,28497,45877,27461,24122,63862,45441,37209,36139,29760,54803,56122,28541,24247,33777,36221,43038,46199,35409,33581,54115,31338,71025,29525,30201,29764,40926,134865,33736,55942,28118,28634,30293,43297,70885,27889,49002,29756,27064,67490,28842,25675,40658,40931,30769,54292,29221,28066,28613,28965,29334,30272,36740,36093,36713,27341,44594,39565,43054,65356,80555,26651,32904
